Date-time CET-CEST (DD/MM/YYYY HH:mm),DMA 1 (L/s),DMA 2 (L/s)
1/1/2021 0:00,NaN,NaN
1/1/2021 1:00,NaN,NaN
1/1/2021 2:00,NaN,NaN
1/1/2021 3:00,NaN,NaN
1/1/2021 4:00,NaN,NaN
1/1/2021 5:00,NaN,NaN
1/1/2021 6:00,NaN,NaN
1/1/2021 7:00,NaN,NaN
1/1/2021 8:00,NaN,NaN
1/1/2021 9:00,NaN,NaN
1/1/2021 10:00,NaN,NaN
1/1/2021 11:00,NaN,NaN
1/1/2021 12:00,NaN,NaN
1/1/2021 13:00,NaN,NaN
1/1/2021 14:00,NaN,NaN
1/1/2021 15:00,NaN,NaN
1/1/2021 16:00,8.75,10.15
1/1/2021 17:00,5.45,9.17
1/1/2021 18:00,5.86,9.18
1/1/2021 19:00,5.84,9.7
1/1/2021 20:00,5.83,9.85
1/1/2021 21:00,5.81,9.3
1/1/2021 22:00,4.81,8.93
1/1/2021 23:00,4.41,8.56
2/1/2021 0:00,3.36,8.16
2/1/2021 1:00,2.38,7.87
2/1/2021 2:00,3.24,7.76
2/1/2021 3:00,3.14,7.66
2/1/2021 4:00,2.79,7.74
2/1/2021 5:00,3.8,7.86
2/1/2021 6:00,4.58,8.14
2/1/2021 7:00,5.84,8.89
2/1/2021 8:00,6.69,9.99
2/1/2021 9:00,7.88,11.08
2/1/2021 10:00,8.08,11.15
2/1/2021 11:00,7.61,10.99
2/1/2021 12:00,7.05,10.8
2/1/2021 13:00,6.74,10.53
2/1/2021 14:00,6.4,10.11
2/1/2021 15:00,5.81,9.67
2/1/2021 16:00,5.08,9.83
2/1/2021 17:00,4.97,9.35
2/1/2021 18:00,4.51,9.37
2/1/2021 19:00,5.88,9.97
2/1/2021 20:00,6.19,9.88
2/1/2021 21:00,5.54,9.11
2/1/2021 22:00,5.01,9.12
2/1/2021 23:00,4.51,8.73
3/1/2021 0:00,4.15,8.16
3/1/2021 1:00,3.75,7.93
3/1/2021 2:00,3.69,7.75
3/1/2021 3:00,3.57,7.64
3/1/2021 4:00,3.59,7.6
3/1/2021 5:00,3.71,7.79
3/1/2021 6:00,4.26,7.77
3/1/2021 7:00,5.9,8.59
3/1/2021 8:00,5.49,10.03
3/1/2021 9:00,7.56,11.54
3/1/2021 10:00,8.14,11.78
3/1/2021 11:00,7.79,11.45
3/1/2021 12:00,6.88,11.76
3/1/2021 13:00,7.43,11.14
3/1/2021 14:00,7.09,9.94
3/1/2021 15:00,6.51,9.84
3/1/2021 16:00,5.91,9.52
3/1/2021 17:00,6.68,9.77
3/1/2021 18:00,6.8,9.97
3/1/2021 19:00,7.27,10.15
3/1/2021 20:00,7.33,10.16
3/1/2021 21:00,6.49,9.31
3/1/2021 22:00,6.04,9.29
3/1/2021 23:00,4.72,8.52
4/1/2021 0:00,3.96,7.99
4/1/2021 1:00,2.92,7.77
4/1/2021 2:00,3.18,7.7
4/1/2021 3:00,3.63,7.67
4/1/2021 4:00,3.17,7.66
4/1/2021 5:00,4.04,7.89
4/1/2021 6:00,5.3,8.77
4/1/2021 7:00,7.46,9.57
4/1/2021 8:00,10.2,10.21
4/1/2021 9:00,10.44,10.12
4/1/2021 10:00,11.23,10.35
4/1/2021 11:00,10.03,9.87
4/1/2021 12:00,8.53,9.85
4/1/2021 13:00,8.86,9.94
4/1/2021 14:00,8.46,9.58
4/1/2021 15:00,8.13,9.49
4/1/2021 16:00,6.14,9.23
4/1/2021 17:00,6.68,9.42
4/1/2021 18:00,5.8,9.39
4/1/2021 19:00,7.5,10
4/1/2021 20:00,7.43,9.93
4/1/2021 21:00,6.63,9.35
4/1/2021 22:00,5.98,8.77
4/1/2021 23:00,5.17,8.5
5/1/2021 0:00,4.58,8.07
5/1/2021 1:00,4.44,7.73
5/1/2021 2:00,10.44,7.74
5/1/2021 3:00,4.97,7.92
